State,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,MMR,IMR,GDP_PC,Poor_GDP_PC,Total Number of reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres
A & N Islands,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,95.47,98.57,17.13,76.77,85.93,65.5,113.3,313.76,21.16,159664.0,0.0,4275.0,100.0,83.0,11.0,5210.0,45.0,124.0,27.0,4.0,4.0,3.0,158.0
A & N Islands,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,94.87,97.93,17.93,81.83,91.77,73.77,138.3,119.79,11.27,167647.0,0.0,3993.0,3954.0,52.0,7.0,4972.0,69.0,124.0,27.0,4.0,4.0,3.0,158.0
A & N Islands,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,96.47,98.17,16.53,91.57,104.1,86.93,161.3,372.2,23.29,176029.0,0.0,2885.0,3329.0,57.0,5.0,4055.0,105.0,124.0,27.0,4.0,4.0,3.0,158.0
Andhra Pradesh,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,98.95,99.15,5.49,94.25,104.72,85.46,115.81,79.02,10.89,139679.0,0.0,751555.0,362588.0,9014.0,640.0,830965.0,2262.0,7458.0,1484.0,211.0,41.0,26.0,9220.0
Andhra Pradesh,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,99.47,99.01,4.95,103.62,106.97,92.38,118.28,57.96,10.94,151173.0,0.0,742723.0,747892.0,8902.0,474.0,858326.0,2652.0,7458.0,1503.0,211.0,41.0,26.0,9239.0
Andhra Pradesh,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,99.65,98.97,5.19,90.18,101.32,82.32,118.32,65.32,12.4,158732.0,0.0,637607.0,646492.0,8279.0,458.0,767359.0,3107.0,7458.0,1504.0,211.0,41.0,26.0,9240.0
Arunachal Pradesh,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,82.44,98.8,5.09,83.03,121.43,63.92,196.18,87.81,5.79,130197.0,0.0,18727.0,4505.0,127.0,12.0,32373.0,240.0,389.0,121.0,64.0,64.0,34.0,592.0
Arunachal Pradesh,2018.0,1.0,0.0,1.0,0.0,1.0,0.0,82.92,98.51,7.08,78.92,130.5,66.19,164.79,12.42,5.73,139587.0,0.0,18708.0,14406.0,153.0,5.0,32159.0,320.0,393.0,124.0,63.0,63.0,33.0,600.0
Arunachal Pradesh,2019.0,1.0,0.0,0.0,1.0,0.0,1.0,83.18,98.41,4.27,84.03,117.24,70.6,150.84,38.43,4.18,146567.0,0.0,18759.0,14710.0,89.0,12.0,28069.0,1080.0,393.0,124.0,63.0,63.0,33.0,600.0
Assam,2017.0,0.0,1.0,0.0,0.0,0.0,0.0,88.48,98.03,14.58,61.36,110.52,51.45,104.84,186.25,21.11,74183.0,1.0,591248.0,20231.0,11663.0,1142.0,689620.0,1566.0,4985.0,1381.0,289.0,188.0,33.0,6707.0
